token,channel,modality
725903f5b62f56118f4094b46a4470d8,CAM_FRONT,camera
ce89d4f3050b5892b33b3d328c5e82a3,CAM_BACK,camera
a89643a5de885c6486df2232dc954da2,CAM_BACK_LEFT,camera
ec4b5d41840a509984f7ec36419d4c09,CAM_FRONT_LEFT,camera
2f7ad058f1ac5557bf321c7543758f43,CAM_FRONT_RIGHT,camera
ca7dba2ec9f95951bbe67246f7f2c3f7,CAM_BACK_RIGHT,camera
dc8b396651c05aedbb9cdaae573bb567,LIDAR_TOP,lidar
47fcd48f71d75e0da5c8c1704a9bfe0a,RADAR_FRONT,radar
232a6c4dc628532e81de1c57120876e9,RADAR_FRONT_RIGHT,radar
1f69f87a4e175e5ba1d03e2e6d9bcd27,RADAR_FRONT_LEFT,radar
df2d5b8be7be55cca33c8c92384f2266,RADAR_BACK_LEFT,radar
5c29dee2f70b528a817110173c2e71b9,RADAR_BACK_RIGHT,radar
